organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
15469411678705648791,GB57rNQAAAAJ,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,uahurtado,@uahurtado.cl,10624,"Musicología, Música popular latinoamericana, Música y sociedad"
15469411678705648791,ZIkl7UgAAAAJ,"Profesor, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,1537,Arqueología
15469411678705648791,3SzLhtAAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,1390,
15469411678705648791,cKOW8IEAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,1290,"sociología, educación"
15469411678705648791,ROCQFAUAAAAJ,"Facultad de Economía y Negocios, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,1201,"creativity, entrepreneurship, innovation, SMEs"
15469411678705648791,V0s0uYUAAAAJ,Profesor de Antropología (UAH),uahurtado,@uahurtado.cl,1000,"antropología del ambiente, patrimonio, educación superior, exclusión"
15469411678705648791,zUMMuRYAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,1001,"strategy, marketing, innovation and sustainability"
15469411678705648791,Xj906M4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,842,"Mathematical Modelling, Analytics, Operational Research, Data Mining, Statistics"
15469411678705648791,L2YpgysAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,809,"didáctica del lenguaje, lengua materna y segundas lenguas, educación intercultural bilingüe"
15469411678705648791,q3ca8v4AAAAJ,"Profesor de Filosofía, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,715,"Filosofía contemporánea, Filosofía de las ciencias"
15469411678705648791,3nSJIm0AAAAJ,académica facultad educación universidad alberto hurtado,uahurtado,@uahurtado.cl,662,"educación, formación inicial docente"
15469411678705648791,OjP1gWgAAAAJ,"Departamento de Sociología, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,598,"sociología, teoría social, sociología política, sociología de las profesiones, educación superior"
15469411678705648791,4S09yXQAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,571,"enseñanza de las ciencias, indagación, practicas, analisis de video"
15469411678705648791,MmRz8u0AAAAJ,"Research Associate, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,439,"health economics, health policy, global health"
15469411678705648791,-Di4rF4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,441,"Análisis Espacial, Geografía de la Salud, Sistemas de Información Geográfica, Modelos de Localización-Asignación"
15469411678705648791,wwDBa-oAAAAJ,"Facultad de Ingenieria, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,418,Modelamiento y Resolución de Problemas
15469411678705648791,ywRXTR4AAAAJ,Facultad de Derecho Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,414,Fuentes del Derecho. Accciones Constitucionales. Relación Derecho interno y Derecho internacional.
15469411678705648791,YXDSFOAAAAAJ,Associate Professor in Finance Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,390,Finance
15469411678705648791,iBZGMxkAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,385,"educación musical, didáctica de la música, music education, didactics of music"
15469411678705648791,0i6XB6MAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,378,Estudios internacionales
15469411678705648791,clLGg48AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,365,"Crime and police history, historia de América Latina y Chile, historia del rock"
15469411678705648791,desdAPoAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,367,Gestión Pública
15469411678705648791,_KZs54gAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,361,antropología del arte
15469411678705648791,Nyxl5kwAAAAJ,Profesor de Derecho Constitucional. Universidadl Alberto Hurtado (Chile),uahurtado,@uahurtado.cl,339,Derecho
15469411678705648791,Qiq9zKcAAAAJ,"Profesor Asociado, Facultad de Educación, Universidad Alberto Hurtado, Chile",uahurtado,@uahurtado.cl,332,"Higher Education, EFL Teacher Education, Student Evaluation, Vocational Education and Learning Design"
15469411678705648791,NoSbioAAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,311,"Historia social y cultural de la educación en Chile, historia de los movimientos estudiantiles y de la juventud en Chile"
15469411678705648791,zgHSnJYAAAAJ,"Academic at the Faculty of Engineering, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,292,"Chemical shift MRI methods, Image segmentation, Level sets, Shape prior knowledge, Rapid prototyping"
15469411678705648791,e-Jt-w4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,282,"Estudios del trabajo, jóvenes y generaciones, gestión de recursos humanos"
15469411678705648791,ex8UIZ4AAAAJ,"Facultad de Psicología, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,257,"trabajo, subjetividad, identidad"
15469411678705648791,kGIQpNkAAAAJ,Assistant Professor of Sociology at the Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,247,"Family change, living arrangements, gender inequalities, public policies"
15469411678705648791,XZoScBQAAAAJ,"Departamento de Política y Gobierno, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,234,"conflicto social, acción sociopolítica, movimientos sociales, relación Estado-sociedad"
15469411678705648791,j9Y7LQwAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,271,"Discourse analysis, Archives and human rights, Academic language in history."
15469411678705648791,hCZA6LcAAAAJ,"Historian of Science, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,228,"history of science and technology, history of knowledge"
15469411678705648791,N7E3JRMAAAAJ,UAH,uahurtado,@uahurtado.cl,223,"political economy, regional policy, infrastructure planning"
15469411678705648791,mUgBWG0AAAAJ,"Profesor de Derecho Administrativo, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,211,"Derecho Administrativo, Derecho Urbanístico, Gestión Pública, Transparencia"
15469411678705648791,kWbb_ukAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,219,"Psicología Educacional, Sociología de la Educación, Historia de la Psicología, Historia de la Educación"
15469411678705648791,5ih2rDYAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,192,"Sociology of Work and Professions, Organizational Behavior, Teacher Formation, Sociology of Religion"
15469411678705648791,TkuKxkUAAAAJ,"Reseach professor, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,192,"social media, participation, digital activism, media literacy, digital journalism"
15469411678705648791,qjXJtrsAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,182,"gender studies, transgender, psychotherapy, latin studies"
15469411678705648791,kdH0jXMAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,178,"Educación, Lingüística educacional, Didáctica del lenguaje"
15469411678705648791,jkT_-qgAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,160,"Macroeconomics, Labor Economics, Applied Econometrics"
15469411678705648791,YTOhUVUAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,156,"Interculturalidad, migraciones, género, educación superior, Jóvenes y juventudes"
15469411678705648791,Vbua4BUAAAAJ,"Department of Economics, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,151,"Industrial Organization, Health Economics, Applied Econometrics"
15469411678705648791,GSmE8RUAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,151,"Archaeology, Art, Prehistory, Bodies"
15469411678705648791,h_eQpcAAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,142,Antropologia
15469411678705648791,1lfEpjEAAAAJ,Académico Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,140,"Educación, formación inicial docente"
15469411678705648791,EUKMHgYAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,133,"literatura latinoamericana, violencia, memoria, representaciones"
15469411678705648791,6g8y44oAAAAJ,"Profesor Departamento de Política Educativa, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,138,"sociología, educación, género, sexualidad"
15469411678705648791,ESG-HlIAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,121,"Fenomenología, Hermenéutica, Bildwissenschaft, Heidegger"
15469411678705648791,syJP-K4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,118,"geografía política, pensamiento geográfico"
15469411678705648791,o4bWwzQAAAAJ,"Faculty of Engineering, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,107,
15469411678705648791,EjyMUe8AAAAJ,"Profesor de Sociología, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,100,"Participación ciudadana, educación, docencia, investigación social, música"
15469411678705648791,EmMr80MAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,92,
15469411678705648791,om-ISu0AAAAJ,"Profesor de Derecho Civil, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,88,"justicia penal adolescente, juvenile justice, derecho de familia, family law, child protection"
15469411678705648791,w3xiAVsAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,91,"enseñanza de la escritura, escritura creativa, metacognición, aprendizaje significativo"
15469411678705648791,7vqfn54AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,77,"Estudios Urbanos, Conocimiento comunitario"
15469411678705648791,Pp5OczsAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,73,"geometría dinámica, geometría, inclusión, equidad, educación superior"
15469411678705648791,oWdkRK0AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,73,Musicología
15469411678705648791,XIpXcyIAAAAJ,"Professor of Educational Courses, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,72,"Education, Educational Policy, Comparative Education Policies, Sociology of Education, Critical Pedagogy"
15469411678705648791,IFROnekAAAAJ,"Departamento de Psicología, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,58,"Políticas de Aprendizaje Social y Emocional, Emociones, Cultura terapéutica Educación."
15469411678705648791,OQBICtYAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,54,"derecho civil, responsabilidad civil enriquecimiento injustificado"
15469411678705648791,UhcAJbIAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,57,"Educação, Argumentação & Cognição"
15469411678705648791,IsXxPBcAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,53,"Trabajo Social, Intervenciones sociales, Juventudes"
15469411678705648791,hhWf9PoAAAAJ,"Departamento de Geografía, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,52,"Geografía del transporte, Movilidad Urbana, Accesibilidad"
15469411678705648791,1Ji7xGAAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,53,"Technology Management and Innovation, Business Strategy, Intellectual Property Rights, Licensing."
15469411678705648791,1-7CYlsAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,49,Derecho Corporativo/ Propiedad Intelectual/Derecho Digital
15469411678705648791,A5d45rgAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,48,"filosofía política, filosofía del derecho, hermenéutica, Paul Ricoeur, Gabriel Marcel"
15469411678705648791,a1Zzs4EAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,43,
15469411678705648791,XMXFHP4AAAAJ,"Professor of English Pedagogy, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,39,"tefl, language assessment, language teacher education, social representations"
15469411678705648791,QVQCf8QAAAAJ,PhD Persona y Sociedad en el Mundo Contemporáneo. Universidad Alberto Hurtado. Chile,uahurtado,@uahurtado.cl,35,"Género, interculturalidad, descolonialidad, trabajo social"
15469411678705648791,RH2gfoAAAAAJ,Académico del Departamento de Geografía Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,33,"Geografía cultural, métodos cualitativos, educación geográfica, geografía de los niños y jóvenes"
15469411678705648791,WsAt0D8AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,30,"media sociology, political communication, journalism studies, elites"
15469411678705648791,ydBXoc4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,59,"Gobiernos Subnacionales, Administración Pública, Estudios Urbanos"
15469411678705648791,HtElAK0AAAAJ,"Académica Departamento de Historia, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,23,"Formación docente, Formación práctica, Didáctica de la historia, Investigación pedagógica"
15469411678705648791,NiQW1V4AAAAJ,"Departamento de Lengua y Literatura, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,21,"Sociolingüística, Fonética, Entonación, Oralidad"
15469411678705648791,wxeCIuEAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,21,Philosophy
15469411678705648791,RG_D8ycAAAAJ,"Profesor, licenciado y magíster en filosofía, Universidad Alberto Hurtado",uahurtado,@alumnos.uahurtado.cl,14,"Filosofía política, posestructuralismo, ética, historia de la filosofía contemporánea"
15469411678705648791,MG4--cEAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,16,"migraciones, género, violencias, Derechos Humanos"
15469411678705648791,qaam31UAAAAJ,Docente pre y postgrado Universidad Alberto Hurtado (UAH),uahurtado,@uahurtado.cl,14,Trabajo Social - Producción de Conocimientos - Feminismos
15469411678705648791,FVIIDnsAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,13,"Finanzas, Econometría"
15469411678705648791,14pWZNUAAAAJ,Departamento de Arte - Facultad de Filosofía y Humanidades - Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,12,"Arts education, aesthetic, art theory, art based research"
15469411678705648791,FEvNeq8AAAAJ,"Etnomusicólogo. Investigador postdoctoral, Instituto de Música, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,10,"Música mapuche, música y chamanismo, etnomusicología, etnografía"
15469411678705648791,jit-0soAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,9,"tecnologías de información, gestión documental, preservación digital, visualización de datos"
15469411678705648791,2aJ0XT4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,9,"accounting, finance, financial accounting, data science, qualitative research"
15469411678705648791,wZ7cZhEAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,8,"Educación, transiciones educativas, trayectorias Técnico profesionales, tutorías de acompañamiento integral"
15469411678705648791,XYBgDE8AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,7,"language testing, language assessment literacy, test impact, teacher education"
15469411678705648791,zX4qncoAAAAJ,Universidad Alberto Hurtado,uahurtado,@alumnos.uahurtado.cl,6,"Filosofía de la Mente, Ciencias Cognitivas, Epistemología, Filosofía de la Ciencia"
15469411678705648791,t_xC8tcAAAAJ,"Dr.(c) en Sociología, Universidad Alberto Hurtado",uahurtado,@alumnos.uahurtado.cl,6,"Trabajo, Clases Sociales, Conciencia de Clase"
15469411678705648791,qCRImu8AAAAJ,"Universidad Alberto Hurtado, Centro UC Derecho y Religión Pontificia Universidad Católica de Chile",uahurtado,@uahurtado.cl,6,"Derecho Público, Derechos Humanos, Derecho Eclesiástico del Estado, Archivística y Conservación"
15469411678705648791,yKVz31QAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,4,"género, masculinidades, cuidados, igualdad de género, paternidad"
15469411678705648791,oqdFQ8wAAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,5,"Medio ambiente, producción de conocimiento."
15469411678705648791,H7jrTScAAAAJ,"Professor of Philosophy, Alberto Hurtado University",uahurtado,@uahurtado.cl,3,"Political Philosophy, Modern Philosophy, Philosophy of Art"
15469411678705648791,2E-3AeMAAAAJ,"Profesor e Investigador, Universidad Alberto Hurtado, UNAB, UMC.",uahurtado,@uahurtado.cl,5,"Responsabilidad Social, Desarrollo Sostenible, Administración, Economía, Diálogo Social"
15469411678705648791,MsPC8uwAAAAJ,"Profesora de Relaciones Internacionales, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,1,"Relaciones América Latina, Análisis de Política Exterior, Política Exterior Comparada"
15469411678705648791,VCXn83wAAAAJ,"Profesor de Inglés, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,1,"Language Assessment, Naturalistic learning"
15469411678705648791,mkgoO8oAAAAJ,Universidad Alberto Hurtado,uahurtado,@alumnos.uahurtado.cl,2,"Filosofia de la ciencia, filosofia analítica, logica, Spinoza."
15469411678705648791,AEIa8-AAAAAJ,"Doctor (c) en Psicología, Universidad Alberto Hurtado",uahurtado,@uahurtado.cl,1,"subjetividad, arte, música, trabajo, psicología social"
15469411678705648791,mDAu6P4AAAAJ,Universidad Alberto Hurtado,uahurtado,@uahurtado.cl,0,"Filosofía Moderna, Filosofía Medieval, Filosofía Política"
15469411678705648791,0jJAFzIAAAAJ,Universidad Alberto Hurtado,uahurtado,@alumnos.uahurtado.cl,1,"Antropología, Filosofía, Ciencias de la religiones, investigación educativa"
15469411678705648791,z0fyxY4AAAAJ,"Cientista Político, Universidad Alberto Hurtado",uahurtado,@alumnos.uahurtado.cl,0,"Políticas Públicas, Estado, Sociedad, Administración Pública, Innovación"
15469411678705648791,oMKf7a8AAAAJ,"Politóloga, Universidad Alberto Hurtado",uahurtado,@alumnos.uahurtado.cl,0,
